Field_Season,Date_Collected,Species,Plot,Sex,Weight_grams,Calibrated_Scale
2014,1/8/1978,DM,4,F,,Yes
2014,1/8/1978,DS,4,F,,Yes
2014,1/8/1978,DM,4,F,,Yes
2014,1/8/1978,DM,4,M,,Yes
2014,1/8/1978,DM,4,M,,Yes
2014,1/8/1978,DM,4,F,,Yes
2014,1/8/1978,DM,4,M,,Yes
2014,1/8/1978,DM,4,F,,Yes
2014,1/8/1978,DO,4,M,,Yes
2014,1/8/1978,OL,4,M,,Yes
2013,7/16/2013,DM,2,F,48,Yes
2013,7/16/2013,DM,7,M,46,Yes
2013,7/16/2013,DM,3,M,42,Yes
2013,7/16/2013,DM,1,M,41,Yes
2013,7/18/2013,DM,7,F,232,Yes
2013,7/18/2013,DM,4,F,218,Yes
2013,7/18/2013,DM,6,F,190,Yes
2013,7/18/2013,DM,3,M,40,Yes
2013,7/18/2013,DM,7,M,37,Yes
2013,7/18/2013,DM,4,F,36,Yes
2013,7/18/2013,DM,4,F,35,Yes
2013,7/18/2013,DM,7,M,33,Yes
2013,7/18/2013,DM,7,F,29,Yes
2013,7/18/2013,DM,8,F,22,Yes
2013,8/19/2013,DO,8,F,182,Yes
2013,10/17/2013,DO,3,F,157,Yes
2013,10/17/2013,DO,3,F,146,Yes
2013,10/17/2013,DO,17,F,144,Yes
2013,10/17/2013,DO,17,F,135,Yes
2013,10/18/2013,DO,8,F,132,Yes
2013,11/12/2013,DO,1,F,128,Yes
2013,11/12/2013,DO,1,M,126,Yes
2013,11/12/2013,DS,9,F,117,Yes
2013,11/12/2013,DS,1,F,115,Yes
2013,11/12/2013,DS,20,M,115,Yes
2013,11/12/2013,DS,9,F,115,Yes
2013,11/13/2013,DS,17,F,113,Yes
2013,11/13/2013,DS,11,F,107,Yes
2013,11/13/2013,DS,17,M,52,No
2013,11/13/2013,DS,14,F,52,No
2013,11/13/2013,DS,11,F,52,Yes
2013,11/13/2013,DS,4,F,51,Yes
2013,11/13/2013,DS,4,F,50,Yes
2013,11/14/2013,DO,8,F,122,Yes
2013,12/10/2013,DO,9,F,121,Yes
2013,12/10/2013,DO,1,M,120,Yes
2013,12/11/2013,DO,8,F,118,Yes
2014,1/8/2014,NA,2,,44,Yes
2014,1/8/2014,DM,2,M,43,Yes
2014,1/8/2014,DM,2,M,43,Yes
2014,1/8/2014,OL,2,,43,Yes
2014,1/8/2014,PE,2,M,42,Yes
2014,1/8/2014,DM,2,M,42,Yes
2014,1/8/2014,DM,2,M,41,Yes
2014,1/8/2014,DM,2,M,41,Yes
2014,1/8/2014,DM,2,F,40,Yes
2014,1/8/2014,DM,2,M,40,Yes
2014,1/8/2014,DM,2,F,39,Yes
2014,1/8/2014,PF,2,F,39,Yes
2014,1/8/2014,DM,2,M,38,Yes
2014,1/8/2014,OT,2,,38,Yes
2014,1/8/2014,DS,2,M,37,No
2014,1/8/2014,OX,2,,37,Yes
2014,1/9/2014,DM,1,M,48,Yes
2014,1/9/2014,DM,1,F,48,Yes
2014,1/9/2014,DS,1,F,48,Yes
2014,1/20/2014,DM,1,F,48,Yes
2014,1/20/2014,DM,1,M,45,Yes
2014,1/20/2014,DS,1,F,45,Yes
2014,2/18/2014,NA,2,M,37,No
2014,2/18/2014,PF,2,F,36,Yes
2014,2/18/2014,DM,2,M,35,Yes
2014,3/13/2014,DM,1,F,45,Yes
2014,3/13/2014,DM,1,F,44,Yes
2014,3/13/2014,DS,1,F,44,Yes
2014,1/8/2014,PF,3,M,35,Yes
2014,2/18/2014,OT,3,M,33,Yes
2014,2/18/2014,OT,3,F,31,Yes
2014,3/11/2014,NA,3,M,29,Yes
2014,3/11/2014,OT,3,F,26,Yes
2014,3/11/2014,OT,3,M,24,Yes
2014,3/11/2014,PF,3,M,23,Yes
2014,4/8/2014,NA,3,F,22,Yes
2014,5/6/2014,,3,,22,Yes
2014,5/18/2014,NA,3,F,8,Yes
2014,6/9/2014,OT,3,F,7,Yes
2014,7/8/2014,NA,3,F,7,Yes
2014,7/8/2014,NA,3,M,7,Yes
